#id,name,trails,lifts,vertical,elevation,base,area,snowfall,city,postal code,latitude,longitude,website,wiki,region,country,continent,metric

# US Northeast
1094,Wildcat Mountain,49,4,2112,4062,2000,225,200,Jackson,3846,44.263056,-71.238333,http://www.skiwildcat.com/,http://en.wikipedia.org/wiki/Wildcat_Mountain_Ski_Area,New Hampshire,USA,North America,FALSE
1125,Yawgoo Valley,12,3,240,310,70,30,39,Exeter ,2822,41.51719,-71.530355,http://www.yawgoo.com,http://en.wikipedia.org/wiki/Yawgoo_Valley,Rhode Island,USA,North America,FALSE
1150,Bolton Valley,71,6,1704,3150,2100,300,312,Bolton Valley,5477,44.420985,-72.849487,http://www.boltonvalley.com/,http://en.wikipedia.org/wiki/Bolton_Valley_Resort,Vermont,USA,North America,FALSE
1151,Bromley Mountain,45,9,1334,3263,1956,178,,Peru,5152,43.213261,-72.933365,http://www.bromley.com/,http://en.wikipedia.org/wiki/Bromley_Mountain,Vermont,USA,North America,FALSE
1152,Burke Mountain,50,6,2011,3270,1259,260,,East Burke,5832,44.570833,-71.893167,http://www.skiburke.com/,http://en.wikipedia.org/wiki/Burke_Mountain_%28Vermont%29,Vermont,USA,North America,FALSE
1153,Cochran's Ski Area,8,3,500,1000,500,30,88,Richmond,5477,44.396382,-72.982106,http://www.cochranskiarea.com/,http://en.wikipedia.org/wiki/Skiing_Cochrans,Vermont,USA,North America,FALSE
1154,Jay Peak,76,8,2153,3968,1815,385,,Jay,5859,44.929444,-72.532222,http://www.jaypeakresort.com/,http://en.wikipedia.org/wiki/Jay_Peak_Resort,Vermont,USA,North America,FALSE
1155,Killington,140,22,3050,4241,1165,752,250,Killington,5751,43.625833,-72.797778,http://www.killington.com,http://en.wikipedia.org/wiki/Killington_Ski_Resort,Vermont,USA,North America,FALSE
1156,Mad River Glen,45,4,2037,3637,1600,115,250,Waitsfield,5673,44.200833,-72.924444,http://www.madriverglen.com/,http://en.wikipedia.org/wiki/Mad_River_Glen,Vermont,USA,North America,FALSE
1157,Magic Mountain,40,4,1700,2850,1150,195,,Londonderry,5148,43.1926,-72.759972,http://www.magicmtn.com/,"http://en.wikipedia.org/wiki/Magic_Mountain,_Vermont",Vermont,USA,North America,FALSE
1158,Middlebury Snow Bowl,17,3,1040,2640,1600,110,250,Middlebury,5753,43.938883,-72.958074,http://www.middlebury.edu/about/facilities/snow_bowl,http://en.wikipedia.org/wiki/Middlebury_College_Snow_Bowl,Vermont,USA,North America,FALSE
1159,Mount Snow,106,20,1700,3600,1900,467,156,West Dover,5356,42.958889,-72.923611,http://mountsnow.com/,http://en.wikipedia.org/wiki/Mount_Snow,Vermont,USA,North America,FALSE
1160,Okemo,119,19,2200,3344,1144,632,200,Ludlow,5149,43.401389,-72.716667,http://www.okemo.com,http://en.wikipedia.org/wiki/Okemo_Mountain,Vermont,USA,North America,FALSE
1161,Pico Mountain,52,7,1967,3967,2000,265,250,Killington,5751,43.662066,-72.842685,http://www.picomountain.com,http://en.wikipedia.org/wiki/Pico_Mountain,Vermont,USA,North America,FALSE
1162,Smugglers' Notch,78,8,2610,3640,1030,310,322,Smugglers' Notch,5464,44.572778,-72.776111,http://www.smuggs.com/,http://en.wikipedia.org/wiki/Smugglers%27_Notch,Vermont,USA,North America,FALSE
1163,Stowe,116,13,2160,3719,1559,485,333,Stowe,5672,44.531944,-72.7875,http://www.stowe.com/,http://en.wikipedia.org/wiki/Stowe_Mountain_Resort,Vermont,USA,North America,FALSE
1164,Stratton,94,11,2003,3875,1872,625,,Stratton,5360,43.113672,-72.905495,http://www.stratton.com,http://en.wikipedia.org/wiki/Stratton_Mountain_Resort,Vermont,USA,North America,FALSE
1165,Sugarbush,111,16,2600,4083,1483,578,269,Warren,5674,44.136068,-72.894548,http://www.sugarbush.com/,http://en.wikipedia.org/wiki/Sugarbush_Resort,Vermont,USA,North America,FALSE
1166,Suicide Six,23,3,650,1200,550,100,110,Woodstock,5091,43.663889,-72.544444,http://www.woodstockinn.com/suicide-six.html,http://en.wikipedia.org/wiki/Suicide_Six,Vermont,USA,North America,FALSE

# US Midatlantic
1200,Wisp,32,12,700,3115,2415,132,100,McHenry,21541,39.558056,-79.363056,http://www.wispresort.com,http://en.wikipedia.org/wiki/Wisp_Ski_Resort,Maryland,USA,North America,FALSE
